,Order Date,Product Name,Category,Region,Quantity,Sales,Profit,percentage
0,2022-05-11,Tablet,Electronics,South,5.0,5865.0,502.73,8.571696504688832
1,2022-09-10,Mouse,Accessories,West,1.0,509.0,103.28,20.290766208251473
2,2023-01-12,Camera,Electronics,West,1.0,524.0,106.35,20.295801526717554
3,2023-10-09,Headphones,Accessories,North,7.0,6167.0,1027.98,16.669044916491004
4,2022-04-02,Smartwatch,Electronics,East,9.0,5526.0,595.28,10.772348896127397
5,2024-10-22,Printer,Office,South,8.0,672.0,186.37,27.733630952380956
6,2022-09-27,Smartwatch,Electronics,East,2.0,502.0,137.4,27.37051792828685
7,2023-12-21,Tablet,Electronics,North,7.0,7462.0,2166.17,29.02934870008041
8,2024-02-03,Smartphone,Electronics,West,5.0,4205.0,585.29,13.918906064209274
9,2023-10-10,Camera,Electronics,West,1.0,570.0,138.54,24.305263157894736
10,2022-10-16,Headphones,Accessories,East,1.0,441.0,102.42,23.22448979591837
11,2022-05-15,Mouse,Accessories,North,7.0,7469.0,589.81,7.89677332976302
12,2023-12-27,Tablet,Electronics,East,5.0,740.0,146.39,19.782432432432433
13,2023-10-05,Headphones,Accessories,North,1.0,662.0,193.92,29.293051359516614
14,2024-03-05,Mouse,Accessories,North,7.0,5712.0,651.27,11.401785714285714
15,2023-07-18,Smartwatch,Electronics,North,3.0,2739.0,572.73,20.910186199342824
16,2023-06-25,Keyboard,Accessories,West,5.0,1400.0,213.63,15.259285714285713
17,2023-11-13,Printer,Office,North,3.0,3477.0,939.2,27.01179177451826
18,2023-12-11,Laptop,Electronics,West,9.0,6138.0,1562.14,25.450309547083744
19,2024-05-04,Laptop,Electronics,North,2.0,1382.0,211.11,15.275687409551375
20,2022-10-21,Printer,Office,West,8.0,1376.0,152.1,11.053779069767442
21,2024-01-22,Mouse,Accessories,West,4.0,988.0,147.91,14.970647773279353
22,2023-04-09,Laptop,Electronics,North,9.0,10773.0,1907.36,17.705003248862898
23,2023-05-04,Headphones,Accessories,North,3.0,2739.0,202.81,7.404527199707922
24,2023-04-18,Tablet,Electronics,South,7.0,2709.0,702.79,25.942783314876337
25,2022-12-12,Printer,Office,West,3.0,936.0,201.24,21.5
26,2022-11-09,Camera,Electronics,West,4.0,3720.0,410.92,11.046236559139786
27,2024-03-26,Mouse,Accessories,West,5.0,5320.0,716.91,13.475751879699246
28,2023-09-20,Headphones,Accessories,East,4.0,804.0,121.51,15.113184079601991
29,2022-12-04,Headphones,Accessories,South,9.0,8667.0,781.78,9.020191531094959
30,2023-02-05,Laptop,Electronics,West,5.0,4325.0,1023.39,23.662196531791906
31,2024-01-20,Laptop,Electronics,South,3.0,1557.0,181.08,11.63005780346821
32,2022-01-27,Monitor,Accessories,West,6.0,3672.0,1002.5,27.30119825708061
33,2023-03-29,Mouse,Accessories,West,1.0,333.0,72.34,21.723723723723726
34,2024-11-26,Mouse,Accessories,West,6.0,888.0,210.39,23.692567567567565
35,2024-05-03,Headphones,Accessories,East,8.0,5880.0,436.85,7.429421768707484
36,2022-09-03,Smartphone,Electronics,West,2.0,1668.0,437.3,26.217026378896886
37,2022-11-17,Smartwatch,Electronics,West,7.0,595.0,148.5,24.95798319327731
38,2023-12-28,Headphones,Accessories,East,7.0,8155.0,1587.91,19.47161250766401
39,2022-05-30,Monitor,Accessories,South,3.0,1872.0,553.1,29.54594017094017
40,2024-04-17,Smartwatch,Electronics,East,6.0,2124.0,126.03,5.93361581920904
41,2024-06-02,Mouse,Accessories,South,7.0,5761.0,362.48,6.291963200833189
42,2024-12-17,Smartwatch,Electronics,East,3.0,2118.0,317.08,14.970727101038714
43,2024-09-10,Smartwatch,Electronics,North,5.0,830.0,58.28,7.021686746987951
44,2023-07-14,Smartwatch,Electronics,North,1.0,851.0,93.56,10.994124559341952
45,2022-06-03,Mouse,Accessories,West,6.0,5460.0,845.75,15.48992673992674
46,2022-08-06,Laptop,Electronics,South,4.0,2008.0,338.44,16.85458167330677
47,2023-06-06,Mouse,Accessories,South,7.0,2842.0,425.24,14.962702322308234
48,2024-02-01,Mouse,Accessories,East,4.0,3404.0,392.22,11.522326674500588
49,2023-05-31,Smartwatch,Electronics,West,1.0,1065.0,228.63,21.467605633802815
50,2023-02-01,Mouse,Accessories,West,3.0,3348.0,331.28,9.894862604540023
51,2024-04-28,Smartphone,Electronics,South,3.0,2409.0,531.79,22.07513491075135
52,2024-04-05,Unknown,Electronics,North,2.0,328.0,39.51,12.045731707317072
53,2024-01-09,Smartwatch,Electronics,North,5.0,2530.0,486.09,19.213043478260868
54,2022-04-06,Headphones,Accessories,West,4.0,4108.0,462.17,11.250486854917236
55,2024-05-22,Printer,Office,South,5.0,1640.0,391.36,23.863414634146345
56,2023-12-30,Laptop,Electronics,South,1.0,111.0,19.33,17.414414414414413
57,2022-03-17,Headphones,Accessories,North,1.0,445.0,128.89,28.964044943820223
58,2022-05-24,Printer,Office,North,4.0,3600.0,623.72,17.325555555555557
59,2024-06-09,Mouse,Accessories,North,3.0,1335.0,176.44,13.216479400749062
60,2024-12-01,Keyboard,Accessories,South,5.0,3090.0,242.15,7.836569579288026
61,2022-12-05,Smartphone,Electronics,West,5.0,390.0,27.77,7.12051282051282
62,2023-03-21,Keyboard,Accessories,West,4.0,4572.0,1038.05,22.70450568678915
63,2022-02-08,Monitor,Accessories,South,7.0,980.0,109.94,11.218367346938775
64,2023-01-04,Headphones,Accessories,North,2.0,2262.0,532.12,23.524314765694076
65,2022-12-14,Camera,Electronics,South,7.0,7518.0,1655.91,22.025937749401436
66,2022-05-14,Camera,Electronics,South,1.0,873.0,158.97,18.209621993127147
67,2022-02-16,Mouse,Accessories,North,6.0,1512.0,423.03,27.9781746031746
68,2024-08-28,Unknown,Electronics,West,1.0,705.0,165.16,23.42695035460993
69,2023-04-06,Laptop,Electronics,West,9.0,8802.0,1344.96,15.280163599182004
70,2024-10-12,Tablet,Electronics,North,2.0,1852.0,168.92,9.12095032397408
71,2022-06-26,Monitor,Accessories,East,1.0,195.0,57.88,29.682051282051287
72,2022-04-15,Mouse,Accessories,East,9.0,7884.0,2054.02,26.053018772196857
73,2024-09-23,Mouse,Accessories,North,6.0,4920.0,929.18,18.885772357723578
74,2022-02-03,Keyboard,Accessories,West,1.0,930.0,222.5,23.9247311827957
75,2023-03-14,Tablet,Electronics,South,7.0,1421.0,248.02,17.45390570021112
76,2022-04-13,Unknown,Accessories,South,5.0,3135.0,787.7,25.12599681020734
77,2024-05-08,Smartphone,Electronics,East,6.0,882.0,184.48,20.91609977324263
78,2024-09-10,Smartphone,Electronics,East,4.0,1192.0,212.77,17.8498322147651
79,2024-09-10,Tablet,Electronics,North,1.0,834.0,95.54,11.455635491606715
80,2022-05-06,Smartphone,Electronics,East,6.0,612.0,83.75,13.684640522875819
81,2024-06-18,Headphones,Accessories,West,9.0,8073.0,710.23,8.79759692803171
82,2023-10-29,Keyboard,Accessories,North,8.0,2640.0,723.88,27.41969696969697
83,2024-03-04,Smartwatch,Electronics,North,2.0,2302.0,305.07,13.25238922675934
84,2022-04-17,Camera,Electronics,East,6.0,1728.0,307.44,17.791666666666668
85,2023-12-20,Laptop,Electronics,East,4.0,228.0,54.05,23.70614035087719
86,2022-03-19,Tablet,Electronics,West,6.0,3450.0,705.74,20.45623188405797
87,2024-07-07,Smartphone,Electronics,South,8.0,7456.0,1702.48,22.833690987124463
88,2023-10-24,Unknown,Accessories,North,4.0,1456.0,431.89,29.662774725274726
89,2024-04-22,Monitor,Accessories,South,6.0,4038.0,364.11,9.017087667161961
90,2023-04-13,Mouse,Accessories,West,4.0,3876.0,302.37,7.801083591331269
91,2023-05-19,Keyboard,Accessories,South,6.0,1002.0,114.7,11.447105788423153
92,2022-03-31,Keyboard,Accessories,South,1.0,189.0,14.88,7.8730158730158735
93,2024-04-24,Monitor,Accessories,East,5.0,940.0,266.02,28.299999999999997
94,2022-01-10,Headphones,Accessories,North,1.0,951.0,127.58,13.41535226077813
95,2022-11-17,Printer,Office,East,2.0,124.0,27.42,22.112903225806452
96,2024-06-29,Mouse,Accessories,West,9.0,7506.0,594.28,7.917399413802291
97,2022-11-14,Monitor,Accessories,West,7.0,8176.0,2308.76,28.238258317025444
98,2023-08-11,Smartphone,Electronics,East,5.0,2125.0,632.68,29.77317647058823
99,2022-03-19,Headphones,Accessories,South,5.0,270.0,29.41,10.892592592592592
100,2022-10-23,Keyboard,Accessories,West,9.0,10035.0,1486.3,14.811160936721473
101,2023-02-26,Printer,Office,North,8.0,6792.0,1125.23,16.56699057714959
102,2024-10-03,Printer,Office,East,1.0,714.0,99.13,13.883753501400559
103,2024-04-11,Headphones,Accessories,East,7.0,4221.0,358.02,8.481876332622601
104,2023-02-24,Laptop,Electronics,North,4.0,2108.0,576.48,27.3472485768501
105,2024-08-08,Monitor,Accessories,North,9.0,10530.0,2387.63,22.67454890788224
106,2022-01-15,Monitor,Accessories,North,4.0,1060.0,213.05,20.099056603773587
107,2022-05-10,Tablet,Electronics,East,5.0,480.0,73.07,15.222916666666666
108,2022-10-03,Headphones,Accessories,West,3.0,2529.0,285.65,11.294978252273626
