Order Date,Product Name,Category,Region,Quantity,Sales,Profit
31-12-2024,Printer,Office,,,3640.0,348.93
2022-11-27,Mouse,Accessories,East,,1197.0,106.53
2022-05-11,Tablet,Electronics,South,5.0,5865.0,502.73
2024-03-16,Mouse,,South,2.0,786.0,202.87
2022/09/10,Mouse,Accessories,West,1.0,509.0,103.28
01-12-2023,Camera,Electronics,West,1.0,524.0,106.35
"Oct 09, 2023",Headphones,Accessories,North,7.0,6167.0,1027.98
2022-01-14,Camera,Electronics,,7.0,3059.0,873.5
04/02/2022,Smartwatch,Electronics,East,9.0,5526.0,595.28
2024-10-22,Printer,Office,South,8.0,672.0,186.37
2023-12-04,,Accessories,South,6.0,7074.0,1357.68
09/27/2022,Smartwatch,Electronics,East,2.0,502.0,137.4
2023-12-21,Tablet,Electronics,North,7.0,7462.0,2166.17
2024-02-03,Smartphone,Electronics,West,5.0,4205.0,585.29
10-10-2023,Camera,Electronics,West,1.0,570.0,138.54
10/16/2022,Headphones,Accessories,East,1.0,441.0,102.42
2022-05-15,Mouse,Accessories,North,7.0,7469.0,589.81
11-02-2023,Tablet,Electronics,South,2.0,,145.75
"Dec 27, 2023",Tablet,Electronics,East,5.0,740.0,146.39
2023-10-05,Headphones,Accessories,North,1.0,662.0,193.92
"Mar 05, 2024",Mouse,Accessories,North,7.0,5712.0,651.27
18-07-2023,Smartwatch,Electronics,North,3.0,2739.0,572.73
2023-06-25,Keyboard,Accessories,West,5.0,1400.0,213.63
2023-11-13,Printer,Office,North,3.0,3477.0,939.2
N/A,Camera,Electronics,North,5.0,3475.0,570.36
2023-12-11,Laptop,Electronics,West,9.0,6138.0,1562.14
2023-03-18,Camera,Electronics,,5.0,3665.0,406.93
2024-08-09,Printer,Office,North,2.0,,206.42
"May 04, 2024",Laptop,Electronics,North,2.0,1382.0,211.11
04-09-2022,,Electronics,West,,1126.0,194.08
"Oct 21, 2022",Printer,Office,West,8.0,1376.0,152.1
2024/01/22,Mouse,Accessories,West,4.0,988.0,147.91
04/09/2023,Laptop,Electronics,North,9.0,10773.0,1907.36
N/A,Unknown,Accessories,?,4.0,3252.0,713.46
2023-05-04,Headphones,Accessories,North,3.0,2739.0,202.81
18-04-2023,Tablet,Electronics,South,7.0,2709.0,702.79
"Dec 12, 2022",Printer,Office,West,3.0,936.0,201.24
11-09-2022,Camera,Electronics,West,4.0,3720.0,410.92
"Mar 26, 2024",Mouse,Accessories,West,5.0,5320.0,716.91
20-09-2023,Headphones,Accessories,East,4.0,804.0,121.51
2023/05/25,Laptop,Electronics,North,8.0,,246.77
2022-12-04,Headphones,Accessories,South,9.0,8667.0,781.78
2022-06-10,,Accessories,West,3.0,3018.0,320.11
2023-02-05,Laptop,Electronics,West,5.0,4325.0,1023.39
2024-01-20,Laptop,Electronics,South,3.0,1557.0,181.08
2022-01-27,Monitor,Accessories,?,6.0,3672.0,1002.5
2023-03-29,Mouse,Accessories,West,1.0,333.0,72.34
2022-01-17,Headphones,Accessories,,4.0,2384.0,577.26
26-11-2024,Mouse,Accessories,West,6.0,888.0,210.39
2024-09-19,Laptop,Electronics,West,5.0,,954.17
2023-07-20,Mouse,,South,7.0,1239.0,177.39
2024-05-03,Headphones,Accessories,East,8.0,5880.0,436.85
2022-09-03,Smartphone,Electronics,West,2.0,1668.0,437.3
,Printer,Office,West,7.0,4109.0,1037.64
17-11-2022,Smartwatch,Electronics,West,7.0,595.0,148.5
28-12-2023,Headphones,Accessories,East,7.0,8155.0,1587.91
2022-05-30,Monitor,Accessories,South,3.0,1872.0,553.1
2024/04/17,Smartwatch,Electronics,East,6.0,2124.0,126.03
2024-09-30,,Accessories,West,5.0,5210.0,1338.8
2024-06-02,Mouse,Accessories,South,7.0,5761.0,362.48
N/A,Headphones,Accessories,South,7.0,6895.0,1596.35
17-12-2024,Smartwatch,Electronics,East,3.0,2118.0,317.08
09-10-2024,Smartwatch,Electronics,North,5.0,830.0,58.28
14-07-2023,Smartwatch,Electronics,North,1.0,851.0,93.56
"Dec 05, 2023",Tablet,Electronics,East,,4730.0,1365.63
2022/06/03,Mouse,Accessories,West,6.0,5460.0,845.75
2024-12-28,Headphones,Accessories,,5.0,5795.0,310.6
2022-08-06,Laptop,Electronics,South,4.0,2008.0,338.44
2023-06-06,Mouse,Accessories,South,7.0,2842.0,425.24
2024-02-01,Mouse,Accessories,East,4.0,3404.0,392.22
2023-05-31,Smartwatch,Electronics,West,1.0,1065.0,228.63
,Tablet,Electronics,West,7.0,2149.0,121.69
"Aug 14, 2024",,Accessories,East,8.0,5912.0,1143.04
2023-02-01,Mouse,Accessories,West,3.0,3348.0,331.28
28-04-2024,Smartphone,Electronics,South,3.0,2409.0,531.79
2024-04-05,Unknown,Electronics,North,2.0,328.0,39.51
,Smartphone,Electronics,West,8.0,6224.0,
01/09/2024,Smartwatch,Electronics,North,5.0,2530.0,486.09
2022-04-06,Headphones,Accessories,West,4.0,4108.0,462.17
2024-05-22,Printer,Office,South,5.0,1640.0,391.36
30-12-2023,Laptop,Electronics,South,1.0,111.0,19.33
2022-03-17,Headphones,Accessories,North,1.0,445.0,128.89
24-05-2022,Printer,Office,North,4.0,3600.0,623.72
"Jun 09, 2024",Mouse,Accessories,North,3.0,1335.0,176.44
2024-12-01,Keyboard,Accessories,South,5.0,3090.0,242.15
