,Age,Gender,Country,Academic_Level,Most_Used_Platform,Purpose_Of_Use,Avg_Daily_Usage_Hours,Daily_Unlocks,Study_Hours,Physical_Activity_Hours,Sleep_Hours_Per_Night,Stress_Level,Mental_Health_Score
0,23,Female,Other,Graduate,LinkedIn,Education,1.6,73,7.0,2.4,8.6,Low,7.6
1,18,Male,Other,High School,Snapchat,Entertainment,7.0,220,1.0,1.7,5.4,Very High,5.3
2,24,Female,Other,Graduate,Facebook,Networking,7.5,237,1.0,1.1,5.0,Very High,4.4
3,19,Female,Other,Undergraduate,Twitter,News,4.1,138,4.6,2.2,6.8,Low,6.8
4,22,Female,Other,Undergraduate,Instagram,Entertainment,8.0,246,1.0,0.9,5.2,Very High,5.3
5,24,Male,USA,Graduate,YouTube,Education,4.7,154,2.4,1.1,7.0,High,6.2
6,19,Male,Other,Undergraduate,TikTok,Entertainment,3.6,130,3.7,1.1,8.1,Medium,8.6
7,18,Male,Other,High School,LinkedIn,Education,4.1,133,4.3,1.8,7.3,High,6.8
8,18,Male,Other,High School,Snapchat,Entertainment,7.6,240,1.0,1.1,5.3,Very High,5.5
9,20,Male,Other,Undergraduate,Facebook,Networking,2.4,86,6.2,1.8,8.8,Low,8.5
10,23,Female,Other,Graduate,LinkedIn,Education,6.2,189,1.5,1.4,5.3,Very High,5.4
11,21,Male,Australia,Undergraduate,YouTube,Education,6.8,211,1.6,1.5,5.7,Very High,5.0
12,21,Male,Canada,Undergraduate,Facebook,Networking,6.9,212,1.0,1.5,5.9,High,5.0
13,23,Female,Other,Graduate,Facebook,Networking,2.0,100,5.7,2.6,7.9,Low,7.1
14,21,Male,Other,Undergraduate,Instagram,Entertainment,6.2,208,2.2,1.1,4.7,Very High,5.7
15,21,Female,Other,Undergraduate,TikTok,Entertainment,7.4,249,1.1,1.2,4.6,Very High,4.7
16,23,Female,USA,Graduate,YouTube,Education,2.7,103,5.0,2.4,7.8,Medium,7.7
17,20,Male,Australia,Undergraduate,YouTube,Education,7.3,235,1.0,1.6,6.0,High,5.7
18,24,Male,Other,Graduate,Snapchat,Entertainment,2.3,113,4.4,2.5,8.2,Low,8.1
19,22,Female,India,Undergraduate,Facebook,Networking,7.5,234,1.0,1.6,5.2,Very High,4.0
20,21,Female,Other,Undergraduate,Twitter,News,6.5,222,1.0,1.2,5.7,High,4.2
21,20,Male,Other,Undergraduate,Twitter,News,4.1,132,4.6,1.6,6.6,Medium,6.7
22,19,Female,Other,Undergraduate,Twitter,News,5.2,182,3.1,1.9,7.5,High,6.4
23,20,Male,UK,Undergraduate,Instagram,Entertainment,7.4,223,1.0,1.4,5.2,Very High,5.0
24,21,Male,Germany,Undergraduate,Instagram,Entertainment,3.6,134,3.9,2.6,7.1,Medium,8.5
25,22,Female,Other,Undergraduate,YouTube,Education,8.0,244,1.0,1.1,5.4,Very High,4.7
26,21,Female,India,Undergraduate,YouTube,Education,6.8,233,1.0,1.2,5.3,Very High,4.6
27,22,Male,Australia,Undergraduate,Twitter,News,7.3,239,1.0,1.2,5.5,Very High,4.7
28,21,Male,Other,Undergraduate,LinkedIn,Education,3.4,136,4.6,2.2,8.6,Low,8.8
29,21,Female,UK,Undergraduate,LinkedIn,Education,4.4,139,4.9,2.0,6.4,High,6.6
30,23,Male,UK,Graduate,TikTok,Entertainment,6.0,180,1.2,1.8,4.8,Very High,5.5
31,24,Female,Other,Graduate,TikTok,Entertainment,3.0,106,5.1,2.3,8.1,Medium,8.0
32,24,Male,Other,Graduate,Instagram,Entertainment,1.7,104,7.4,2.6,7.7,Low,8.7
33,21,Male,Other,Undergraduate,TikTok,Entertainment,1.8,79,6.5,2.6,7.9,Low,8.1
34,24,Female,Other,Graduate,Twitter,News,7.1,205,2.1,2.3,5.2,Very High,4.8
35,20,Female,India,Undergraduate,Snapchat,Entertainment,6.5,203,1.0,1.1,5.7,High,4.1
36,22,Male,Other,Undergraduate,Snapchat,Entertainment,7.6,243,1.0,1.3,5.9,Very High,6.0
37,21,Male,Other,Undergraduate,Snapchat,Entertainment,5.2,179,1.7,2.9,6.4,High,6.1
38,19,Female,Other,Undergraduate,Instagram,Entertainment,2.9,130,5.6,2.1,7.9,Medium,7.7
39,20,Female,Other,Undergraduate,Snapchat,Entertainment,4.0,136,2.8,1.6,7.5,Medium,7.2
40,23,Male,Other,Graduate,TikTok,Entertainment,6.4,224,1.0,1.2,5.2,Very High,4.6
41,22,Male,UK,Undergraduate,Facebook,Networking,8.2,249,1.0,1.1,4.6,Very High,4.1
42,22,Male,Other,Undergraduate,Twitter,News,5.1,189,3.6,2.1,6.5,High,6.9
43,19,Male,Other,Undergraduate,YouTube,Education,2.5,91,7.1,2.5,7.6,Medium,8.4
44,22,Male,Other,Undergraduate,Facebook,Networking,6.5,190,3.8,2.0,5.8,Very High,5.5
45,23,Female,Other,Graduate,Instagram,Entertainment,4.7,146,2.6,1.5,6.1,High,6.6
46,18,Male,Other,High School,YouTube,Education,7.4,218,1.0,0.7,5.0,Very High,4.7
47,18,Male,India,High School,TikTok,Entertainment,8.4,237,1.0,1.4,5.9,Very High,5.3
48,19,Male,India,Undergraduate,Instagram,Entertainment,8.1,259,1.0,0.8,4.8,Very High,4.1
49,22,Female,Other,Undergraduate,LinkedIn,Education,3.6,148,4.5,2.2,8.6,Medium,8.6
50,20,Male,Canada,Undergraduate,Twitter,News,5.8,174,2.1,1.5,5.6,High,5.5
51,21,Female,USA,Undergraduate,Snapchat,Entertainment,8.0,228,1.0,1.4,5.8,Very High,5.1
52,23,Male,UK,Graduate,Instagram,Entertainment,3.7,146,4.3,2.2,8.4,Low,7.2
53,23,Female,Australia,Graduate,Facebook,Networking,3.3,137,4.8,2.3,8.6,Medium,8.3
54,18,Female,Canada,High School,Snapchat,Entertainment,3.1,111,5.7,1.8,7.8,Medium,7.5
55,20,Male,USA,Undergraduate,LinkedIn,Education,4.1,154,3.0,1.6,7.2,Medium,6.8
56,22,Male,Germany,Undergraduate,YouTube,Education,5.6,182,4.1,2.3,5.6,High,5.7
57,18,Male,Other,High School,Snapchat,Entertainment,3.7,144,5.0,3.5,7.5,Low,7.0
58,20,Female,Other,Undergraduate,LinkedIn,Education,2.9,106,5.4,1.4,8.3,Medium,8.4
59,23,Male,Other,Graduate,Twitter,News,5.0,160,3.4,1.2,6.7,High,6.8
60,21,Male,Other,Undergraduate,Instagram,Entertainment,6.5,191,1.1,1.2,5.6,Very High,4.3
61,22,Female,UK,Undergraduate,Instagram,Entertainment,3.6,137,3.4,1.5,7.1,Medium,6.0
62,23,Female,Other,Graduate,TikTok,Entertainment,2.3,85,5.8,2.5,8.3,Low,8.8
63,22,Male,Other,Undergraduate,Instagram,Entertainment,6.2,183,1.9,1.7,4.8,Very High,5.9
64,20,Female,Other,Undergraduate,Instagram,Entertainment,7.5,225,1.0,0.9,4.7,Very High,4.6
65,21,Female,Other,Undergraduate,TikTok,Entertainment,8.4,242,1.0,1.0,5.3,Very High,5.9
66,22,Male,Australia,Undergraduate,YouTube,Education,6.0,185,2.9,1.0,6.8,High,6.9
67,19,Female,Canada,Undergraduate,Instagram,Entertainment,4.5,144,3.6,1.8,6.1,High,6.6
68,21,Female,Other,Undergraduate,Facebook,Networking,3.6,115,3.3,3.1,7.2,Medium,9.0
69,18,Male,UK,High School,LinkedIn,Education,7.3,236,2.0,1.4,5.3,Very High,4.0
70,21,Female,Other,Undergraduate,YouTube,Education,8.3,245,1.1,1.3,5.1,Very High,4.2
71,18,Female,Other,High School,Instagram,Entertainment,3.3,129,4.0,1.2,8.3,Medium,8.5
72,21,Male,Other,Undergraduate,Twitter,News,5.3,191,3.2,1.6,7.3,High,6.7
73,23,Female,USA,Graduate,Instagram,Entertainment,3.8,148,3.9,2.1,7.4,Medium,7.1
74,24,Male,Other,Graduate,Instagram,Entertainment,3.7,141,4.3,2.0,7.4,Medium,8.7
75,22,Female,Other,Undergraduate,Twitter,News,1.9,107,6.0,2.1,9.0,Low,8.6
76,21,Female,Germany,Undergraduate,Facebook,Networking,4.4,142,3.9,1.6,6.5,High,6.5
77,22,Female,Other,Undergraduate,YouTube,Education,3.2,121,5.3,2.5,8.3,Low,7.5
78,21,Female,UK,Undergraduate,Snapchat,Entertainment,6.1,187,1.0,2.0,4.5,Very High,4.1
79,18,Female,Other,High School,LinkedIn,Education,5.6,204,1.7,1.4,5.9,High,5.2
80,23,Female,Other,Graduate,Snapchat,Entertainment,5.8,171,1.5,1.9,6.9,High,6.1
81,23,Male,Canada,Graduate,Twitter,News,2.8,113,4.9,2.1,7.7,Medium,8.1
82,18,Female,Other,High School,YouTube,Education,6.5,216,2.2,1.8,5.6,Very High,4.3
83,23,Female,Australia,Graduate,Snapchat,Entertainment,4.6,155,2.3,2.3,6.9,High,6.6
84,20,Female,Other,Undergraduate,Twitter,News,8.2,248,1.0,0.9,5.8,Very High,4.6
85,21,Female,Other,Undergraduate,TikTok,Entertainment,8.4,250,1.0,0.6,5.9,Very High,5.0
86,23,Female,Other,Graduate,TikTok,Entertainment,7.3,241,1.0,1.2,5.5,Very High,5.7
87,23,Female,Other,Graduate,Snapchat,Entertainment,6.3,207,1.0,1.0,5.7,Very High,5.9
88,24,Male,Other,Graduate,Facebook,Networking,5.7,192,2.5,1.7,6.8,High,6.6
89,24,Female,Other,Graduate,Facebook,Networking,3.8,151,6.2,2.1,7.4,Medium,6.3
90,21,Male,Other,Undergraduate,TikTok,Entertainment,3.6,154,5.9,2.4,7.4,Medium,7.8
91,18,Female,Other,High School,Facebook,Networking,6.5,220,1.0,2.5,4.7,Very High,4.8
92,24,Female,Other,Graduate,YouTube,Education,7.8,225,1.0,1.2,5.4,Very High,5.6
93,18,Male,Other,High School,LinkedIn,Education,3.7,135,3.8,1.5,6.7,Medium,6.2
94,21,Female,Other,Undergraduate,Facebook,Networking,3.3,135,4.1,1.7,8.2,Low,8.6
95,20,Female,Other,Undergraduate,YouTube,Education,5.9,190,2.0,1.5,4.9,High,5.1
96,24,Male,Other,Graduate,Snapchat,Entertainment,7.2,217,1.0,1.0,4.7,Very High,5.4
97,18,Male,Other,High School,Snapchat,Entertainment,1.6,65,5.7,3.2,8.1,Low,8.6
98,22,Female,Other,Undergraduate,Twitter,News,2.6,97,4.0,1.7,7.5,Low,8.5
99,20,Female,USA,Undergraduate,Twitter,News,5.1,176,1.7,2.2,6.5,High,6.9
100,19,Male,Australia,Undergraduate,Instagram,Entertainment,4.3,142,2.7,1.6,6.7,Medium,6.3
101,20,Female,Other,Undergraduate,TikTok,Entertainment,2.5,100,4.6,1.6,7.7,Medium,8.5
102,22,Female,Other,Undergraduate,YouTube,Education,5.8,181,3.7,1.2,6.0,High,4.7
103,20,Male,Other,Undergraduate,LinkedIn,Education,2.5,92,7.8,2.3,7.4,Medium,8.2
104,19,Female,Australia,Undergraduate,TikTok,Entertainment,6.4,191,1.0,2.0,5.5,Very High,4.4
105,20,Male,Other,Undergraduate,Twitter,News,7.8,227,1.0,0.5,5.2,Very High,5.2
