Age,Gender,Country,Academic_Level,Most_Used_Platform,Purpose_Of_Use,Avg_Daily_Usage_Hours,Daily_Unlocks,Study_Hours,Physical_Activity_Hours,Sleep_Hours_Per_Night,Stress_Level,Mental_Health_Score
21.0,Male,Other,Undergraduate,Facebook,Networking,4.0,134.0,4.5,2.2,,Medium,6.8
23.0,Female,Other,Graduate,LinkedIn,Education,1.6,73.0,7.0,2.4,8.6,Low,7.6
22.0,Male,Canada,Undergraduate,Instagram,Entertainment,4.6,,4.0,1.8,6.7,Medium,7.0
18.0,Male,Other,High School,Snapchat,Entertainment,7.0,220.0,1.0,1.7,5.4,Very High,5.3
24.0,Female,Other,Graduate,Facebook,Networking,7.5,237.0,1.0,1.1,5.0,Very High,4.4
19.0,Female,Other,Undergraduate,Twitter,News,4.1,138.0,4.6,2.2,6.8,Low,6.8
22.0,Female,Other,Undergraduate,Instagram,Entertainment,8.0,246.0,1.0,0.9,5.2,Very High,5.3
21.0,Female,Other,Undergraduate,Facebook,Networking,6.0,209.0,1.0,,5.7,High,4.7
24.0,Male,USA,Graduate,YouTube,Education,4.7,154.0,2.4,1.1,7.0,High,6.2
19.0,Male,Other,Undergraduate,TikTok,Entertainment,3.6,130.0,3.7,1.1,8.1,Medium,8.6
18.0,Male,Other,High School,LinkedIn,Education,4.1,133.0,4.3,1.8,7.3,High,6.8
18.0,Male,Other,High School,Snapchat,Entertainment,7.6,240.0,1.0,1.1,5.3,Very High,5.5
20.0,Male,Other,Undergraduate,Facebook,Networking,2.4,86.0,6.2,1.8,8.8,Low,8.5
23.0,Female,Other,Graduate,LinkedIn,Education,6.2,189.0,1.5,1.4,5.3,Very High,5.4
24.0,Male,India,Graduate,Instagram,Entertainment,2.7,120.0,5.4,,8.6,Medium,7.8
18.0,Female,Other,High School,Twitter,News,,155.0,,0.6,7.0,High,6.3
22.0,Female,USA,,YouTube,Education,6.5,226.0,1.3,0.9,5.4,Very High,5.0
21.0,Male,Australia,Undergraduate,YouTube,Education,6.8,211.0,1.6,1.5,5.7,Very High,5.0
21.0,Male,Canada,Undergraduate,Facebook,Networking,6.9,212.0,1.0,1.5,5.9,High,5.0
20.0,Male,Other,,Instagram,Entertainment,5.5,183.0,2.2,1.0,,Very High,6.8
23.0,Female,Other,Graduate,Facebook,Networking,2.0,100.0,5.7,2.6,7.9,Low,7.1
19.0,Female,Other,Undergraduate,Snapchat,Entertainment,,170.0,1.9,2.2,7.1,High,6.5
24.0,Male,Other,,Facebook,,2.0,110.0,6.4,2.9,7.8,Low,
23.0,Male,,Graduate,TikTok,Entertainment,2.0,113.0,5.6,,7.2,Medium,
23.0,Female,Other,Graduate,LinkedIn,Education,7.1,210.0,1.0,1.0,5.4,Very High,
21.0,Male,Other,Undergraduate,Instagram,Entertainment,6.2,208.0,2.2,1.1,4.7,Very High,5.7
20.0,Female,Other,Undergraduate,LinkedIn,,,107.0,5.6,2.5,8.3,Low,8.2
21.0,Female,Other,Undergraduate,TikTok,Entertainment,7.4,249.0,1.1,1.2,4.6,Very High,4.7
20.0,Female,USA,Undergraduate,TikTok,Entertainment,5.6,175.0,,1.9,5.7,Very High,5.1
23.0,Female,USA,Graduate,YouTube,Education,2.7,103.0,5.0,2.4,7.8,Medium,7.7
20.0,Male,Australia,Undergraduate,YouTube,Education,7.3,235.0,1.0,1.6,6.0,High,5.7
