,Student_Type,Sleep_Hours,Study_Hours,Social_Media_Hours,Attendance,Exam_Pressure,Family_Support,Month,Stress_Level
0,school,6.9,1.7,3.2,82.0,8,7,2,1
1,school,8.5,3.3,3.9,94.0,6,4,3,1
2,college,4.5,6.3,2.9,64.4,7,1,12,1
3,school,8.6,2.4,5.2,81.9,2,7,7,0
4,college,5.3,9.3,7.8,85.8,5,6,10,1
5,college,4.9,4.5,2.1,85.1,3,5,5,0
6,college,6.6,5.3,4.9,82.0,4,7,7,0
7,college,6.4,2.8,6.2,74.2,7,8,6,0
8,college,8.1,5.0,4.7,89.6,3,2,7,0
9,college,4.6,4.7,5.6,95.8,5,5,10,0
10,working_student,4.0,9.7,5.7,78.7,3,9,7,0
11,school,5.6,3.5,5.8,85.5,5,5,3,1
12,college,9.9,5.8,5.2,85.0,8,8,3,1
13,college,7.5,6.8,0.2,78.0,7,6,1,1
14,college,6.8,7.4,4.2,83.4,9,5,11,1
15,college,6.3,1.0,6.5,82.3,2,2,3,0
16,college,6.4,7.2,2.6,86.7,1,6,1,0
17,working_student,4.5,8.8,1.3,69.2,5,6,6,1
18,school,9.5,3.2,3.0,82.0,5,3,6,0
19,working_student,6.8,9.1,4.1,68.2,6,7,8,0
20,school,8.9,2.7,4.3,82.0,8,3,4,0
21,school,8.4,4.2,1.5,70.0,8,6,5,0
22,college,3.7,2.2,4.6,73.9,6,7,2,0
23,college,3.8,6.0,3.7,75.1,4,6,2,0
24,school,7.3,1.1,3.5,69.9,5,5,10,0
25,college,5.7,5.5,3.1,76.4,3,8,12,0
26,college,4.5,10.3,5.4,74.1,6,5,5,1
27,school,7.7,3.5,0.5,76.0,3,8,4,0
28,college,8.6,3.9,4.0,95.4,7,5,9,0
29,working_student,6.3,4.5,5.1,90.8,2,8,9,0
30,school,8.4,3.9,6.4,80.6,6,8,2,0
31,school,8.7,3.0,1.8,95.9,9,6,11,0
32,college,5.8,5.1,4.1,75.7,3,6,6,1
33,school,5.9,2.9,2.4,67.3,7,7,12,1
