,Transaction ID,Item,Quantity,Price Per Unit,Total Spent,Payment Method,Location,Transaction Date
0,TXN_4801947,Juice,1,3.0,3.0,Digital Wallet,Takeaway,2023-01-01
1,TXN_9161256,Smoothie,2,4.0,8.0,Digital Wallet,In-store,2023-01-01
2,TXN_6093955,Tea,5,1.5,7.5,Other,Takeaway,2023-01-01
3,TXN_8842223,Sandwich,5,3.0,20.0,Digital Wallet,In-store,2023-01-01
4,TXN_7367474,Juice,5,3.0,15.0,Digital Wallet,Takeaway,2023-01-01
5,TXN_2690222,Other,4,3.0,12.0,Other,Takeaway,2023-01-01
6,TXN_5728991,Salad,3,5.0,10.0,Other,Takeaway,2023-01-01
7,TXN_2192787,Sandwich,5,4.0,20.0,Cash,In-store,2023-01-01
8,TXN_5563675,Tea,3,1.5,4.5,Digital Wallet,In-store,2023-01-01
9,TXN_2104473,Cake,3,3.0,9.0,Digital Wallet,Takeaway,2023-01-01
10,TXN_8308672,Salad,2,5.0,10.0,Digital Wallet,Takeaway,2023-01-01
11,TXN_2024598,Sandwich,1,4.0,4.0,Digital Wallet,In-store,2023-01-01
12,TXN_3093284,Coffee,4,2.0,8.0,Digital Wallet,In-store,2023-01-01
13,TXN_5358805,Coffee,5,2.0,10.0,Digital Wallet,Takeaway,2023-01-01
14,TXN_1604072,Coffee,2,2.0,4.0,Other,Takeaway,2023-01-01
15,TXN_8249251,Cake,3,3.0,9.0,Other,In-store,2023-01-01
16,TXN_6566716,Coffee,3,2.0,2.0,Credit Card,Takeaway,2023-01-01
17,TXN_4292280,Cake,4,3.0,12.0,Cash,Takeaway,2023-01-01
18,TXN_1581562,Coffee,2,2.0,4.0,Cash,In-store,2023-01-01
19,TXN_6234882,Cookie,4,1.0,4.0,Credit Card,Takeaway,2023-01-01
20,TXN_6882503,Tea,1,1.5,1.5,Other,In-store,2023-01-02
21,TXN_1853298,Cookie,5,1.0,5.0,Credit Card,Takeaway,2023-01-02
22,TXN_4893692,Salad,2,5.0,10.0,Other,Takeaway,2023-01-02
